range,area,unit
"东至昭觉寺南路，西至荆翠南一街，南至昭觉寺南路，北至荆翠西路,西至荆翠南一街,南至昭觉寺南路,北至荆翠西路",成华区,成都成华棚户区惠民改造建设有限责任公司
"平儒路,银仙桥,黄鹤大道周边,纯阳观",新津县,成都长衡置业有限公司
"观景路,茶厂巷,玉带桥街,左支渠",都江堰市,都江堰市危旧房改造中心
"瑞康花园,电信大楼,柏条河,左支渠",都江堰市,都江堰市危旧房改造中心
"观景路,茶厂巷,左之渠排洪沟,茶厂家属区",都江堰市,都江堰市危旧房改造中心
"柏条河两路,幸福大道太柏桥,幸福公寓,柏条河",都江堰市,都江堰市危旧房改造中心
"茶厂路,华夏广场,光能苑，,国有土地原地毯厂",都江堰市,都江堰市危旧房改造中心
"解放5组,金家磨巷,茶厂巷，,蒲阳河南路政府资源空地",都江堰市,都江堰市危旧房改造中心
"冬至观景路，南至柏条河，西至瑞康花园，北至和睦花园。,,,",都江堰市,都江堰市危旧房改造中心
"东至粮食仓库，西至规划道路，南至规划道路，北至粮食仓库,,,",成华区,成都卓众拆迁服务有限公司
"东至粮食仓库，西至规划道路，南至规划道路，北至粮食仓库,,,",成华区,成都成华棚户区惠民改造建设有限责任公司
"新罗路15号附1号,港泰通航大厦,十二桥街,新罗路48号-49号",金牛区,成都力汇诚投资有限公司
"东临水碾河南街、南临创意仓库、西临水碾河南三街、北临水碾河路,,,",锦江区,成都市锦江区房屋管理服务中心
"东临水碾河南街、南临创意仓库、西临水碾河南三街、北临水碾河路,,,",锦江区,四川天佑福成房屋拆迁有限公司
"新桥1组,临水雅苑,新桥1组村道,三环路",金牛区,成都城建置业有限责任公司
"新桥1组,临水雅苑,新桥1组村道,三环路",金牛区,成都市金牛区人民政府沙河源街道办事处
"东至建华南路，南至温泉大道，西至斜江河，北至建华西路,,,",崇州市,大邑县房产管理局
"东至建华南路，南至温泉大道，西至斜江河，北至建华西路,,,",崇州市,成都城建置业有限责任公司
"人民南路,成达小区,玉洁东街,何氏骨科",武侯区,成都市润诚房屋拆迁有限公司
"郫筒街道南大街,郫筒街道新南街,郫筒街道金家巷,郫筒街道一环路西南段",武侯区,成都永安拆迁服务有限公司
"规划道路,二仙桥西北二路,二仙桥西北路,成铁局动车基地",成华区,成都祥鹤房屋拆迁有限公司
"规划道路,二仙桥西北二路,二仙桥西北路,成铁局动车基地",成华区,成都众志房屋拆迁有限公司
"规划道路,二仙桥西北二路,二仙桥西北路,成铁局动车基地",成华区,成都金利房屋拆迁服务有限公司
"规划道路,二仙桥西北二路,二仙桥西北路,成铁局动车基地",成华区,成都成华旧城改造投资有限责任公司
"北至成铁局动车基地，南至八里庄路，西至府青路，东至成铁局用地边界规划红线范围内。,,,",成华区,成都鑫宇房屋拆迁有限公司
"北至成铁局动车基地，南至八里庄路，西至府青路，东至成铁局用地边界规划红线范围内。,,,",成华区,成都成华旧城改造投资有限责任公司
"红星路四段,四川省政府办公区,四川省政府办公区,东大街城守东大街段",锦江区,成都阳广达置业有限公司
"红星路四段,四川省政府办公区,四川省政府办公区,东大街城守东大街段",锦江区,成都市锦江区房屋管理服务中心
"一环路东二段,猛追湾95号院,新鸿苑,猛追湾东街宿舍",成华区,四川天丰置业有限公司
